date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:07:51	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1689399842-ssl-df	https://zoyothemes.com/robots.txt		(from )
23:07:52	112082/112082	---MCZ	200	added ('OK')	text/html	etag:%22e9913509bf2375cf86e93e45a62566eb-ssl-df%22	https://zoyothemes.com/silva/html/	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/index.html	(from )
23:07:53	20502/20502	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22ef40cbd62701a008954595c4ed409c22-ssl%22	https://zoyothemes.com/silva/html/assets/images/favicon.ico	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/assets/images/favicon.ico	(from https://zoyothemes.com/silva/html/)
23:07:54	277132/277132	---MCZ	200	added ('OK')	text/css	etag:%2231757243eefa82dfee6460e6674c9566-ssl-df%22	https://zoyothemes.com/silva/html/assets/css/app.min.css	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/assets/css/app.min.css	(from https://zoyothemes.com/silva/html/)
23:07:55	345846/345846	---MCZ	200	added ('OK')	text/css	etag:%2200d21458123f94119fa75e6710961cbc-ssl-df%22	https://zoyothemes.com/silva/html/assets/css/icons.min.css	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/assets/css/icons.min.css	(from https://zoyothemes.com/silva/html/)
23:07:56	93792/93792	---M--	200	added ('OK')	image/jpeg	etag:%2231410bacc6194c5aff7a4c1b23e6897d-ssl%22	https://zoyothemes.com/silva/html/assets/images/users/user-12.jpg	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/assets/images/users/user-12.jpg	(from https://zoyothemes.com/silva/html/)
23:07:56	7421/7421	---M--	200	added ('OK')	image/jpeg	etag:%2235c55d16ca4a5d6f0385e4576d69b96c-ssl%22	https://zoyothemes.com/silva/html/assets/images/users/user-2.jpg	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/assets/images/users/user-2.jpg	(from https://zoyothemes.com/silva/html/)
23:07:57	4499/4499	---M--	200	added ('OK')	image/jpeg	etag:%228a6f5c65188bce544e4beab14d9f0b1a-ssl%22	https://zoyothemes.com/silva/html/assets/images/users/user-3.jpg	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/assets/images/users/user-3.jpg	(from https://zoyothemes.com/silva/html/)
23:07:58	5418/5418	---M--	200	added ('OK')	image/jpeg	etag:%22696b2ffaaa15d643b3bd59faf8adaa09-ssl%22	https://zoyothemes.com/silva/html/assets/images/users/user-8.jpg	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/assets/images/users/user-8.jpg	(from https://zoyothemes.com/silva/html/)
23:07:59	5411/5411	---M--	200	added ('OK')	image/jpeg	etag:%22721a950ffd0700b50b7c2bebcf8ec6a6-ssl%22	https://zoyothemes.com/silva/html/assets/images/users/user-5.jpg	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/assets/images/users/user-5.jpg	(from https://zoyothemes.com/silva/html/)
23:08:00	6261/6261	---M--	200	added ('OK')	image/jpeg	etag:%2294a42290b41c0501ed1b1a2abd647d9b-ssl%22	https://zoyothemes.com/silva/html/assets/images/users/user-6.jpg	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/assets/images/users/user-6.jpg	(from https://zoyothemes.com/silva/html/)
23:08:01	133040/133040	---MCZ	200	added ('OK')	text/html	etag:%221da1c6c5e4984c9b70579575fe050c0f-ssl-df%22	https://zoyothemes.com/silva/html/pages-profile	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/pages-profile.html	(from https://zoyothemes.com/silva/html/)
23:08:02	4942/4942	---MCZ	200	added ('OK')	text/html	etag:%22d50bdb4b43aed834f52438f0843bd1ff-ssl-df%22	https://zoyothemes.com/silva/html/auth-lock-screen	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/auth-lock-screen.html	(from https://zoyothemes.com/silva/html/)
23:08:03	4194/4194	---MCZ	200	added ('OK')	text/html	etag:%223870132126ff5de5691993fdc3e8c0c4-ssl-df%22	https://zoyothemes.com/silva/html/auth-logout	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/auth-logout.html	(from https://zoyothemes.com/silva/html/)
23:08:04	2901/2901	---M--	200	added ('OK')	image/png	etag:%22477b3f4b1f72c9cf3b0ee6741798bf90-ssl%22	https://zoyothemes.com/silva/html/assets/images/logo-sm.png	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/assets/images/logo-sm.png	(from https://zoyothemes.com/silva/html/)
23:08:05	3337/3337	---M--	200	added ('OK')	image/png	etag:%22736d1af9885d76e2dd216386397a8b73-ssl%22	https://zoyothemes.com/silva/html/assets/images/logo-light.png	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/assets/images/logo-light.png	(from https://zoyothemes.com/silva/html/)
23:08:05	3306/3306	---M--	200	added ('OK')	image/png	etag:%22ea655d7a6275604d4b65fafb791bfd38-ssl%22	https://zoyothemes.com/silva/html/assets/images/logo-dark.png	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/assets/images/logo-dark.png	(from https://zoyothemes.com/silva/html/)
23:08:07	107762/107762	---MCZ	200	added ('OK')	text/html	etag:%22dab6a3910851e26a29f5ef9f4b3db02b-ssl-df%22	https://zoyothemes.com/silva/html/analytics	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/analytics.html	(from https://zoyothemes.com/silva/html/)
23:08:08	104015/104015	---MCZ	200	added ('OK')	text/html	etag:%2230f0142f393b184995539feace3aece2-ssl-df%22	https://zoyothemes.com/silva/html/ecommerce	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/ecommerce.html	(from https://zoyothemes.com/silva/html/)
23:08:08	9894/9894	---MCZ	200	added ('OK')	text/html	etag:%22379dd10549e06c484f756de912a60e92-ssl-df%22	https://zoyothemes.com/silva/html/auth-login	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/auth-login.html	(from https://zoyothemes.com/silva/html/)
23:08:09	10033/10033	---MCZ	200	added ('OK')	text/html	etag:%22338c04db29e87c78d6ff4c1d2f62bd98-ssl-df%22	https://zoyothemes.com/silva/html/auth-register	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/auth-register.html	(from https://zoyothemes.com/silva/html/)
23:08:10	5281/5281	---M-Z	200	added ('OK')	text/html	etag:%228c933b52148f034208cabf7331862860-ssl-df%22	https://zoyothemes.com/silva/html/auth-recoverpw	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/auth-recoverpw.html	(from https://zoyothemes.com/silva/html/)
23:08:11	4334/4334	---MCZ	200	added ('OK')	text/html	etag:%2217e86c2490df404dfcdc2b511d502ced-ssl-df%22	https://zoyothemes.com/silva/html/auth-confirm-mail	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/auth-confirm-mail.html	(from https://zoyothemes.com/silva/html/)
23:08:11	4973/4973	---MCZ	200	added ('OK')	text/html	etag:%228254c7c5f2e2411c72b108551e2499fb-ssl-df%22	https://zoyothemes.com/silva/html/email-verification	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/email-verification.html	(from https://zoyothemes.com/silva/html/)
23:08:12	3641/3641	---MCZ	200	added ('OK')	text/html	etag:%2259206fb7f379e5bbc8f58ea0ec438a3b-ssl-df%22	https://zoyothemes.com/silva/html/error-404	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/error-404.html	(from https://zoyothemes.com/silva/html/)
23:08:13	4101/4101	---MCZ	200	added ('OK')	text/html	etag:%22c5295e70839dea2c237db853810ec635-ssl-df%22	https://zoyothemes.com/silva/html/error-500	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/error-500.html	(from https://zoyothemes.com/silva/html/)
23:08:15	4082/4082	---MCZ	200	added ('OK')	text/html	etag:%222b50f4820f1b9da2720caf46f2e7726f-ssl-df%22	https://zoyothemes.com/silva/html/error-503	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/error-503.html	(from https://zoyothemes.com/silva/html/)
23:08:16	4210/4210	---MCZ	200	added ('OK')	text/html	etag:%22aeb2d50bb2171a60d31dd235c5c3a24a-ssl-df%22	https://zoyothemes.com/silva/html/error-429	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/error-429.html	(from https://zoyothemes.com/silva/html/)
23:08:16	4098/4098	---MCZ	200	added ('OK')	text/html	etag:%22e04d2b6d67d26c3570b1e987e9b527d1-ssl-df%22	https://zoyothemes.com/silva/html/offline-page	C:/Users/Xeven/Downloads/Silva-Admin-Template/zoyothemes.com/silva/html/offline-page.html	(from https://zoyothemes.com/silva/html/)
